#Keyword Types: 14355
#Keyword Tokens: 635166
#Search Hits: 0
134	213	+	2078.23	55556.0063	(Ancient
135	213	+	2078.23	55556.0063	prints,
136	211	+	2058.72	55034.3537	only,
137	210	+	2048.96	54773.5274	foreground,
138	208	+	2029.45	54251.8747	building,
139	468	+	2022.91	24.5706	Head
140	207	+	2019.69	53991.0484	Persis
141	19239	+	2010.25	1.4042	in
142	207	+	2007.04	26995.5242	Mss
143	209	+	1991.83	5451.2701	Eur
144	524	+	1972.76	17.8938	Lady
145	384	+	1966.47	39.0021	faded
146	201	+	1961.15	52426.0905	fort.
147	332	+	1953.56	61.8531	Col
148	285	+	1929.2	110.6183	excavated
149	517	+	1923.7	17.4537	shoulders
150	450	+	1910.67	23.5214	-
151	308	+	1905.7	74.9389	tomb
152	201	+	1900.01	3744.7207	'A
153	193	+	1883.09	50339.4799	men,
154	192	+	1873.33	50078.6536	(I.A.
155	1055	+	1858.43	5.5525	probably
156	190	+	1853.82	49557.001	mountains.
157	189	+	1844.06	49296.1746	Temple.
158	254	+	1833.1	153.3562	Formal
159	239	+	1830.88	219.4982	Bengal
160	187	+	1824.55	48774.522	row,
161	958	+	1812.02	6.0187	Mrs
162	580	+	1795.26	12.2276	identified
163	569	+	1773.37	12.3778	onto
164	275	+	1762.59	86.6271	gateway
165	180	+	1756.25	46948.7378	spotting.[Albumen
166	611	+	1755.7	10.7664	length
167	178	+	1736.73	46427.0851	[Printing-out
168	552	+	1727.02	12.4633	signed
169	177	+	1726.98	46166.2588	H.H.
170	357	+	1723.87	32.8796	Colonel
171	176	+	1717.22	45905.4325	(A.S.I.
172	175	+	1707.46	45644.6061	trees.
173	174	+	1697.7	45383.7798	Singh,
174	219	+	1689.83	230.3265	Photographic
175	335	+	1689.24	37.245	sculpture
176	173	+	1687.95	45122.9535	(A.S.I.,
177	325	+	1681.16	40.2128	ruined
178	180	+	1678.05	2347.4369	Bloch's
179	171	+	1668.43	44601.3009	south.
180	495	+	1662.74	14.2128	negative
181	170	+	1658.68	44340.4745	east.
182	168	+	1639.16	43818.8219	mosque.
183	168	+	1639.16	43818.8219	scene.
184	167	+	1629.4	43557.9956	uniform.
185	545	+	1624.91	11.4563	Henry
186	317	+	1621.8	38.8908	portion
187	171	+	1609.52	3185.8072	'This
188	164	+	1600.13	42775.5166	'Abdullah
189	164	+	1600.13	42775.5166	Fr�res'
190	596	+	1595.05	9.6065	note
191	163	+	1590.38	42514.6903	group.
192	162	+	1580.62	42253.864	A.
193	162	+	1580.62	42253.864	south-west.
194	483	+	1561.66	13.2303	Major
195	160	+	1561.1	41732.2113	Head-and-shoulders
196	160	+	1561.1	41732.2113	left,
197	160	+	1561.1	41732.2113	mandapa
198	541	+	1558.98	10.8178	stone
199	171	+	1554.57	1311.803	Lieut
200	390	+	1552.86	20.2392	River
201	269	+	1529.52	54.7288	Singh
202	217	+	1525.84	133.4889	thatched
203	156	+	1522.08	40688.9061	tomb.
204	155	+	1512.32	40428.0797	Series,
205	201	+	1505.08	189.9496	sculptural
206	154	+	1502.56	40167.2534	group,
207	221	+	1500.28	112.1452	mosque
208	153	+	1492.8	39906.4271	destroyed:
209	153	+	1492.8	39906.4271	snapshot.
210	204	+	1488.73	163.2165	verandah
211	152	+	1483.05	39645.6008	centre.
212	151	+	1473.29	39384.7744	bridge.
213	158	+	1465.92	2060.5279	neg
214	150	+	1463.53	39123.9481	1,
215	150	+	1463.53	39123.9481	site.
216	149	+	1453.78	38863.1218	Bombay,
217	149	+	1453.78	38863.1218	India.
218	149	+	1453.78	38863.1218	buildings,
219	203	+	1436.31	137.8847	Original
220	146	+	1424.5	38080.6428	bungalow.
221	146	+	1424.5	38080.6428	north-east.
222	145	+	1414.75	37819.8165	W.
223	145	+	1414.75	37819.8165	work.
224	236	+	1397.55	63.3282	Possibly
225	143	+	1395.23	37298.1639	[Silver
226	143	+	1395.23	37298.1639	uniform,
227	1106	+	1392.67	4.0076	seen
228	142	+	1385.48	37037.3376	2,
229	141	+	1375.72	36776.5112	road.
230	140	+	1365.96	36515.6849	M.
231	152	+	1351.3	901.0364	letterpress
232	138	+	1346.45	35994.0323	1916),
233	138	+	1346.45	35994.0323	gopura
234	138	+	1346.45	35994.0323	series,
235	736	+	1336.73	5.7458	building
236	240	+	1331.51	50.3202	reproduced
237	216	+	1330.15	73.5489	oval
238	232	+	1321.08	55.0106	hillside
239	135	+	1317.18	35211.5533	entrance.
240	5387	+	1311.7	1.714	from
241	595	+	1310.26	7.2676	figures
242	132	+	1287.91	34429.0744	hillside.
243	218	+	1287.81	62.7595	Cole
244	172	+	1286.3	188.4963	domed
245	197	+	1284.94	93.4232	Buddhist
246	149	+	1278.59	571.5165	Raja
247	131	+	1278.15	34168.248	S.
248	130	+	1268.39	33907.4217	Asia,
249	130	+	1268.39	33907.4217	Khan,
250	130	+	1268.39	33907.4217	side.
251	347	+	1268.11	16.8103	distant
252	129	+	1258.64	33646.5954	Cunningham,
253	129	+	1258.64	33646.5954	Innermost
254	129	+	1258.64	33646.5954	unsigned,
255	241	+	1250.6	40.6067	courtyard
256	128	+	1248.88	33385.7691	(Calcutta,
257	128	+	1248.88	33385.7691	lake.
258	127	+	1239.12	33124.9427	C.
259	127	+	1239.12	33124.9427	vols,
260	365	+	1237.45	14.4683	wooden
261	487	+	1234.77	8.8505	studio
262	126	+	1229.36	32864.1164	Ronaldshay,
263	295	+	1227.95	22.4326	Probably
264	132	+	1226.7	2151.8171	poorish
265	125	+	1219.61	32603.2901	Co.
266	125	+	1219.61	32603.2901	R.
267	125	+	1219.61	32603.2901	Singh;
268	341	+	1215.29	15.968	visible
269	210	+	1214	58.0228	pillars
270	124	+	1209.85	32342.4638	fa�ade.
271	169	+	1208.62	145.9591	Buddha
272	165	+	1207.08	165.5244	sculptured
273	267	+	1201.16	27.1821	Imperial
274	123	+	1200.09	32081.6375	condition.
275	123	+	1200.09	32081.6375	valley.
276	179	+	1199.77	105.6288	Copy
277	122	+	1190.34	31820.8111	shrine.
278	158	+	1189.35	196.2408	two-part
279	137	+	1186.84	638.093	captioned
280	128	+	1182.61	1854.7649	stupa
281	121	+	1180.58	31559.9848	(Madras)
282	202	+	1175.05	59.3321	shrine
283	120	+	1170.82	31299.1585	967/1
284	120	+	1170.82	31299.1585	hills.
285	120	+	1170.82	31299.1585	prints.
286	120	+	1170.82	31299.1585	wall,
287	119	+	1161.06	31038.3322	(1992)
288	119	+	1161.06	31038.3322	61/1
289	119	+	1161.06	31038.3322	XXXVII,
290	155	+	1159.59	188.9163	Negative
291	262	+	1154.57	25.7874	palace
292	118	+	1151.31	30777.5059	west.
